bcr_patient_barcode,B lineage,CD8 T cells,Cytotoxic lymphocytes,Endothelial cells,Fibroblasts,Monocytic lineage,Myeloid dendritic cells,NK cells,Neutrophils,T cells,KRAS,EGFR,CD274,MET,BRAF,ROS1,ALK,ERBB2,ERBB4,DDR2,FGFR1,FGFR2,FGFR3,NTRK1,NTRK2,NTRK3,LTK,RET,NRG1,NRAS,MAP2K1,RIT1
TCGA-NJ-A7XG,1.1843683850521936,0.4916739825098622,0.6058904794017941,1.8131858181855744,3.188571432109514,1.4617564157549536,1.9127577063779209,0.1395747449180522,1.9672725473088144,1.0546400770794009,3.2763314305245905,3.2303634887550188,1.2790939514437278,4.245358029970662,2.368440942390819,4.733265314178933,0.0463437487075903,4.758994036736704,0.4417802403459064,0.8191988360003051,2.46045946153272,1.9768054441369611,4.388130075922772,0.5273685565624975,0.1878813654405449,0.111545612044807,1.311956708548842,0.1802001487583071,0.2770971256679305,3.390344743597765,3.7386897030232418,3.953426305782735
TCGA-18-3411,0.9391577899683696,1.4835905032109045,1.877658739903012,1.5867848884040794,4.679784955684515,2.924534061134905,1.3217067630719594,0.4643685928072418,1.7842651797864402,1.1496628746551607,3.071686996530742,3.5415152198000146,1.6783624328447724,4.054830101275193,2.211116782092118,0.7986127000703579,0.0343868515524311,2.9078566439297537,0.0365673620322538,1.6167412008893391,2.380388173680016,4.336043040311958,3.676032689582867,0.2101233989437299,4.503408431974775,0.0338706481828647,0.2343263221119224,0.1422932559606477,2.070914114759068,5.6538569720639344,3.846018225519029,5.1772943508748615
TCGA-18-3414,1.1132872915411942,3.859054697773839,1.1675058876071085,1.9662523294458147,5.053540707014298,2.395353749681695,1.523114396461077,0.2314535937428469,2.4115846914959653,1.543536314932542,3.473487931048675,4.118297587263195,1.711474940607981,4.617124273776976,2.6752580156233376,0.5664957414988516,0.0631457808698655,4.076544090227485,0.2104198487102484,1.9778302540450088,3.039333448522937,3.5916669983216174,5.057612046637912,0.8370636765090478,4.15181276224708,0.0352648431977553,0.5282071307192838,0.3769830661639094,1.5506422470254662,4.781578641258029,4.36502060633392,4.232367673493529
TCGA-18-3417,0.9930809515298802,1.0972593176478211,0.6751244834965197,1.6986219861240377,5.886451093483679,1.9699971899741668,1.1885073555312704,0.1480634763290967,1.0172746366731966,1.031892299041423,3.2089745781903107,3.756774996608808,1.732222400314961,4.428427684753103,2.22394742803056,1.3500987233196349,0.0,3.583951555754669,0.0098029045159158,2.8316595357379093,2.912230473827909,2.450224537465383,2.665546986266244,0.3026338071874975,2.46423143031148,0.0047844618099819,0.5720815598095248,0.2686218458981089,1.1970464925168445,4.106259816216114,4.170580362059616,3.466778975204016
TCGA-21-1070,1.996681885148906,2.373822341993257,1.4553647472080142,1.830051267006652,4.415783855341436,2.705085934643223,1.4824216549803306,0.6642616567742697,1.862674313182681,2.332840124672089,3.5559507336783627,3.674674213302304,3.7025220728329167,4.486475731098363,1.8384624908293357,2.140738770399951,0.1222743669140132,3.217931129087292,0.1615974309750218,1.7453474809940654,1.7093374828907193,3.0713469034780827,3.969350356056285,0.2437091758564504,2.4112777706149733,0.0244163610824877,0.7347810265045621,0.940437862964812,2.305670443661473,4.102626861558008,3.8156142437160585,3.718044520352697
TCGA-21-1079,0.5888853913178995,0.6930817598364957,0.6229592513585163,2.315429855178912,5.714305414742473,2.042522497678458,0.9566506528633122,0.2185867545223145,1.4676563780397098,0.9887899434263056,3.254047225795966,4.838406194118823,3.312723657739777,4.008107624812906,1.9830825658184144,0.4867322869451347,0.7530477407640824,3.354405898966478,0.0,2.609551037145896,2.800530329205085,2.389246369926153,3.3979452798699312,0.6346068784855967,0.5148421018998788,0.0485677761528883,0.2808319190962776,1.6671307588784554,2.373643828771052,4.548684246704799,4.712391865474896,3.415013453559299
TCGA-21-5787,1.405186322923441,3.2391694567240927,1.815036369808334,2.254299194978306,4.45828452216565,2.672039780758368,0.97780341947452,1.0055032214658572,1.301212972337044,2.2170826065238574,2.989046937648121,1.8946802952491315,1.9131354766507729,3.6584692945995,1.909664245457606,0.9283165895441834,0.1070203157222104,4.428982919245102,0.1072187968098007,1.6816061425037516,1.9233178403300768,1.4364184331518774,4.341546316362093,0.711105103941843,0.4173828545508549,0.0487273178510099,0.4494815142091786,3.136228107175269,0.1680288122059307,4.365619363472152,4.383818706742295,2.905634733002045
TCGA-22-4591,0.9729689550354838,1.9587837686204608,0.8895406610081663,1.899455585955503,3.700694633293372,2.229245880010134,1.1280121088260526,0.2283766209047288,1.8284395527080015,1.46337335640976,3.694797560158909,3.931636976122979,1.849286325287169,5.304455142000859,3.433939908398317,2.4911743887708586,0.2720133180807828,3.6851554877805848,0.199387993321707,1.1575065258992805,4.103548821848564,4.533626799070048,5.626767286992831,0.1409816855139467,3.960529772353623,0.0548230330656171,0.3869148898246742,0.2040108177350862,1.5424782433518676,4.821527416132406,3.844646076269469,4.537675917049139
TCGA-22-4594,2.485486379058821,2.2339945692941723,0.9329333674444696,1.6424964737065948,4.6114276737453,2.644078647371419,2.1473719541054326,0.2744260709513268,1.949207417240306,1.8811904200332843,3.3195060061047816,1.6561008063403966,1.5743182460857692,2.13851923954439,1.8146162403456785,0.4210940316552495,0.032436233594523,3.5813887204205,1.3571168377814562,1.6705523961088793,2.532942187784971,1.7396310547799112,1.0713862111222536,0.1817915836783866,0.1243671981565597,0.0564698459582228,0.892251105826702,3.9551441426707528,0.4807786224036952,4.327846445826704,3.5628895679356885,4.580317952773957
TCGA-22-4595,1.3863122249173807,1.5402833607005788,1.2466950050464665,1.880588188304008,5.44413629531364,2.820116924767882,0.971452004489496,0.5521211295569362,1.9981097771702525,1.608023525986485,4.0015423367925225,4.177722867794777,1.884929147565027,3.0827863046406065,2.237642805583455,2.7610364423567653,0.7254605005612696,3.134349297934048,0.2073764448560752,2.8723346819439577,2.5081910626045967,2.67675829109728,3.439838054361801,0.3384520694827899,0.469121096218982,0.0488417754275544,1.7328505980383797,0.9262127735430656,0.732409897771464,4.861254450315597,4.235842205695536,3.7769688835029873
